Date,Value
2023-11-23,94304.65333097591
2023-11-24,93933.99260199364
2023-11-27,94520.31089857216
2023-11-28,95700.44750961682
2023-11-29,95860.57315817974
2023-11-30,94417.24714977191
2023-12-01,93425.88098061776
2023-12-04,94380.29810615789
2023-12-05,95655.01303555064
2023-12-06,96143.38578858163
2023-12-07,96005.39647029647
2023-12-08,95973.48466174779
2023-12-11,94593.66443802208
2023-12-12,94561.79201830723
2023-12-13,95217.82957011196
2023-12-14,96916.01541468521
2023-12-15,97835.82263441797
2023-12-18,98155.43521562796
2023-12-19,99706.88815346446
2023-12-20,101000.67270406049
2023-12-21,100337.06705655842
2023-12-22,100417.35914174099
2023-12-25,102067.29937874543
2023-12-26,101150.97651409607
2023-12-27,101183.6603850381
2023-12-28,100933.58335092918
2023-12-29,100786.29948761297
2024-01-01,103314.21570769663
2024-01-02,104600.72707122152
2024-01-03,102981.62384655027
2024-01-04,102389.49392814412
2024-01-05,102407.42782895526
2024-01-08,98710.88035684629
2024-01-09,97453.04721619417
2024-01-10,95850.44111280513
2024-01-11,95739.11831415999
2024-01-12,95535.88276790315
2024-01-15,93947.89772852216
2024-01-16,91353.2977730963
2024-01-17,91247.40793270107
2024-01-18,94014.29100483788
2024-01-19,94897.93110196161
2024-01-22,95375.86996663052
2024-01-23,94027.79435832577
2024-01-24,95244.69666755717
2024-01-25,97016.2470963969
2024-01-26,97149.0539513591
2024-01-29,99924.5916357007
2024-01-30,99490.06376923599
2024-01-31,99551.91867808554
2024-02-01,99800.5373774974
2024-02-02,99205.51365212328
2024-02-05,100089.17820281933
2024-02-06,101792.70309609073
2024-02-07,102256.07345927198
2024-02-08,101615.59520746495
2024-02-09,100440.23002052758
2024-02-12,102222.69936610162
2024-02-13,104340.06928654674
2024-02-14,104648.09856687406
2024-02-15,105655.09821652611
2024-02-16,106580.69913917108
2024-02-19,109801.50594987776
2024-02-20,109674.73757328543
2024-02-21,108323.39514662736
2024-02-22,107890.9157421628
2024-02-23,109133.8818732401
2024-02-26,112522.77805472864
2024-02-27,112225.98431675203
2024-02-28,113314.27659185963
2024-02-29,114778.43854927598
2024-03-01,115469.89906255869
2024-03-04,119056.14578628623
2024-03-05,119747.08481482841
2024-03-06,119254.94393031954
2024-03-07,117249.20440376668
2024-03-08,117311.4130362468
2024-03-11,115483.56618769615
2024-03-12,112502.92473606297
2024-03-13,113292.96936647894
2024-03-14,113060.62287943052
2024-03-15,112490.90813985231
2024-03-18,116131.1036495003
2024-03-19,117715.61461724958
2024-03-20,118071.96992183891
2024-03-21,120208.34229512622
2024-03-22,121937.43758061226
2024-03-25,121261.33444671983
2024-03-26,121178.7068739083
2024-03-27,120613.408645283
2024-03-28,118992.94784958355
2024-03-29,118992.94784958355
2024-04-01,117221.59942543392
2024-04-02,116210.16127932133
2024-04-03,113743.14813311689
2024-04-04,110953.73001709596
2024-04-05,111066.91392752039
2024-04-08,112255.67361019159
2024-04-09,114124.80531264769
2024-04-10,111571.29302075873
2024-04-11,107616.23676857076
2024-04-12,107076.03492696302
2024-04-15,107770.33825545575
2024-04-16,108318.54532613828
2024-04-17,107036.88887174289
2024-04-18,108377.86282842519
2024-04-19,108180.77340184814
2024-04-22,109281.13951710105
2024-04-23,108641.5753099809
2024-04-24,109983.63369791907
2024-04-25,108481.27128940426
2024-04-26,107742.88781733811
2024-04-29,107068.78257224451
2024-04-30,110493.0261016124
2024-05-01,110049.39203477082
2024-05-02,108829.047070908
2024-05-03,109722.42804434388
2024-05-06,112212.86389829112
2024-05-07,112266.87643609283
2024-05-08,113649.14523947988
2024-05-09,118043.68175753715
2024-05-10,117512.32301706055
2024-05-13,117531.87477515428
2024-05-14,117803.0588160254
2024-05-15,119650.32558224797
2024-05-16,119574.65924315168
2024-05-17,118804.61514720999
2024-05-20,117340.96543336994
2024-05-21,117797.39696722025
2024-05-22,118738.82829984861
2024-05-23,117971.83089154965
2024-05-24,117945.49326145925
2024-05-27,118041.11696526308
2024-05-28,117653.11976063097
2024-05-29,119211.09936064087
2024-05-30,119344.91283477972
2024-05-31,119307.20089677184
2024-06-03,118279.40427435494
2024-06-04,120282.1415245945
2024-06-05,120486.81146514352
2024-06-06,118719.47144511004
2024-06-07,118227.33212483363
2024-06-10,119732.89664213001
2024-06-11,120230.25941716743
2024-06-12,121599.50887145725
2024-06-13,124079.22033027017
2024-06-14,123091.85344258584
2024-06-17,122653.53536903579
2024-06-18,124889.85672038006
2024-06-19,123569.53264482616
2024-06-20,122290.86264352084
2024-06-21,121818.38342991185
2024-06-24,117951.93008559612
2024-06-25,121036.163302119
2024-06-26,122245.54377957099
2024-06-27,123102.23352490591
2024-06-28,122922.0070670248
2024-07-01,120967.5472730354
2024-07-02,122006.2928015838
2024-07-03,123266.23126456236
2024-07-04,125716.4172189339
2024-07-05,126537.32680926468
2024-07-08,129557.35941680422
2024-07-09,131067.33849726385
2024-07-10,131273.7877561582
2024-07-11,132808.63302048855
2024-07-12,133506.2375198695
2024-07-15,136218.58678046035
2024-07-16,135663.49874140517
2024-07-17,135717.19390437988
2024-07-18,135108.33293139204
2024-07-19,134956.2186806204
2024-07-22,134799.89424417645
2024-07-23,138139.53767457345
2024-07-24,138620.59133776664
2024-07-25,137610.05492027127
2024-07-26,136881.72855873604
2024-07-29,133448.33082094093
2024-07-30,128441.77274997241
2024-07-31,126363.51937286669
2024-08-01,124143.46504285268
2024-08-02,123075.83472233843
2024-08-05,116377.24896473104
2024-08-06,118465.40216266857
2024-08-07,119998.17903203751
2024-08-08,125160.19363061555
2024-08-09,125236.5350896916
2024-08-12,128763.13892090347
2024-08-13,127066.59529657167
2024-08-14,130994.61632975715
2024-08-15,134212.18240925882
2024-08-16,135408.71072890397
2024-08-19,135078.29599792397
2024-08-20,136461.1148272724
2024-08-21,136820.29520526895
2024-08-22,135117.49432104852
2024-08-23,135749.74222162302
2024-08-26,137298.4671579679
2024-08-27,138043.54032291888
2024-08-28,139245.61461433503
2024-08-29,140307.1204680262
2024-08-30,140111.5656542113
2024-09-02,137747.35952742473
2024-09-03,135558.90828645587
2024-09-04,133348.4526960696
2024-09-05,132500.4959341515
2024-09-06,131748.00086223285
2024-09-09,130929.3466937137
2024-09-10,130076.1429113434
2024-09-11,129489.79347979059
2024-09-12,130722.70637499803
2024-09-13,132556.30437333495
2024-09-16,131012.71957608928
2024-09-17,127101.91009834479
2024-09-18,126901.20897500643
2024-09-19,127180.46512161037
2024-09-20,127379.33926990871
2024-09-23,128621.85105802027
2024-09-24,130242.29032006525
2024-09-25,131863.55657132785
2024-09-26,132671.11279049504
2024-09-27,134509.6591073856
2024-09-30,136812.59833974566
2024-10-01,137208.78123335118
2024-10-02,135803.66367603003
2024-10-03,134723.34134718205
2024-10-04,134053.73460129448
2024-10-07,133514.3009547452
2024-10-08,134239.62750454596
2024-10-09,135727.62658998492
2024-10-10,135404.9098923833
2024-10-11,135338.769244236
2024-10-14,136792.09079083748
2024-10-15,136742.7365891266
2024-10-16,136816.24426477557
