,Value
2020-07-31,163264.61741518686
2020-08-03,167625.734156863
2020-08-04,167961.1425896437
2020-08-05,170818.4085666484
2020-08-06,170775.07293374863
2020-08-07,170777.20569557062
2020-08-10,167447.06472927242
2020-08-11,163127.84752264238
2020-08-12,167705.55533834582
2020-08-13,169984.5533878701
2020-08-14,169393.76746200258
2020-08-17,179324.52886529395
2020-08-18,180167.19030083925
2020-08-19,180937.4476686025
2020-08-20,183597.04118226143
2020-08-21,184957.8927759805
2020-08-24,183911.59349087707
2020-08-25,185144.99541778734
2020-08-26,186775.22377224217
2020-08-27,184337.2793915682
2020-08-28,184512.5010342346
2020-08-31,186385.69851614887
2020-09-01,193706.20542097374
2020-09-02,192112.92921160618
2020-09-03,179453.69387156135
2020-09-04,176920.92647336432
2020-09-07,176920.9305067002
