Date,Strategy,^TA125.TA
2024-08-07,119998.17903203751,107476.31365264945
2024-08-08,125160.19363061555,108879.10942300162
2024-08-09,125236.5350896916,108879.10942300162
2024-08-12,128763.13892090347,107611.41680263463
2024-08-13,127066.59529657167,107611.41680263463
2024-08-14,130994.61632975715,109526.30245606463
2024-08-15,134212.18240925882,111231.98969975677
2024-08-16,135408.71072890397,111231.98969975677
2024-08-19,135078.29599792397,111356.7453157108
2024-08-20,136461.1148272724,111474.41858992758
2024-08-21,136820.29520526895,110677.95772340485
2024-08-22,135117.49432104852,110878.43122012928
2024-08-23,135749.74222162302,110878.43122012928
2024-08-26,137298.4671579679,112663.66014412133
2024-08-27,138043.54032291888,112593.38203381204
2024-08-28,139245.61461433503,113464.47681706461
2024-08-29,140307.1204680262,113546.19307553173
2024-08-30,140111.5656542113,113546.19307553173
2024-09-02,137747.35952742473,113664.96361396131
2024-09-03,135558.90828645587,112206.05441677438
2024-09-04,133348.4526960696,111580.64706590037
2024-09-05,132500.4959341515,113057.53144591904
2024-09-06,131748.00086223285,113057.53144591904
2024-09-09,130929.3466937137,110947.61871631189
2024-09-10,130076.1429113434,110789.08731286156
2024-09-11,129489.79347979059,110909.48712239502
2024-09-12,130722.70637499803,112012.65661170108
2024-09-13,132556.30437333495,112012.65661170108
2024-09-16,131012.71957608928,109924.52956428292
2024-09-17,127101.91009834479,108436.75234316973
2024-09-18,126901.20897500643,109008.76615243955
2024-09-19,127180.46512161037,108164.36481494602
2024-09-20,127379.33926990871,108164.36481494602
2024-09-23,128621.85105802027,110058.00344316421
2024-09-24,130242.29032006525,111400.32998026106
2024-09-25,131863.55657132785,112383.65161718315
2024-09-26,132671.11279049504,114068.63714272685
2024-09-27,134509.6591073856,114068.63714272685
2024-09-30,136812.59833974566,115549.33202210275
2024-10-01,137208.78123335118,114131.82626121273
2024-10-02,135803.66367603003,114131.82626121273
2024-10-03,134723.34134718205,114131.82626121273
2024-10-04,134053.73460129448,114131.82626121273
2024-10-07,133514.3009547452,114015.79555827212
2024-10-08,134239.62750454596,114129.64503295938
2024-10-09,135727.62658998492,114934.27885534603
2024-10-10,135404.9098923833,113830.56405897663
2024-10-11,135338.769244236,113830.56405897663
2024-10-14,136792.09079083748,115453.99638722446
2024-10-15,136742.7365891266,116243.92021907325
2024-10-16,136816.24426477557,116243.92021907325
2024-10-17,136883.62726310952,116243.92021907325
2024-10-18,137698.3970679662,116243.92021907325
2024-10-21,141508.3869359737,118482.4057140778
2024-10-22,138591.73898516828,117429.89658097312
2024-10-23,139079.51907176946,117429.89658097312
2024-10-24,138170.73170896777,117429.89658097312
2024-10-25,138156.15878401374,117429.89658097312
2024-10-28,137457.64712910002,118521.62792212135
2024-10-29,139992.07128694994,119480.9826486011
2024-10-30,141611.8149739307,121310.8735510978
2024-10-31,140962.18148668678,120735.04259238462
2024-11-01,139388.32719792865,120735.04259238462
2024-11-04,138285.0630689404,120670.21755270871
2024-11-05,138520.32220879162,121219.9003727262
2024-11-06,137407.18003480314,121598.51637692272
2024-11-07,136747.7202611212,121716.72830811668
2024-11-08,137410.41228075552,121716.72830811668
2024-11-11,139817.32642022346,124144.79445875117
2024-11-12,139341.5158762695,125215.81743166484
2024-11-13,141180.75201174343,125722.4608941954
2024-11-14,140917.81549185666,124401.38138231036
