Date,Strategy,VT,VOO,SPMO,QQQ
2017-10-25,116965.72448443712,104267.75474718053,101242.77769830592,104728.05813282817,104125.18370313144
2017-10-26,117567.39983435732,104296.52658502926,101337.48834724029,104727.43487215594,103792.64406740425
2017-10-27,119077.81352099833,104848.83908416632,102199.63842558459,104726.8116151936,106812.66614177218
2017-10-30,118834.17672981576,104717.68633475775,101828.7297156674,106615.32746118112,107051.73349857284
2017-10-31,117760.74660148285,105051.87038414995,101945.02434274134,106845.99893229001,107453.2057577427
2017-11-01,118393.35465488261,105284.27925414978,102121.66609471614,106748.96313312698,107417.1029780157
2017-11-02,118968.65656005572,105400.31696867185,102164.66933517707,107101.76745156242,107211.52409716132
2017-11-03,119550.96688075399,105487.25335903645,102505.10687127154,107711.53217512649,108241.12014534973
2017-11-06,120206.75860701397,105763.25689819161,102660.20014944773,108064.2996069247,108607.2408176684
2017-11-07,120372.86102731893,105544.85531760013,102616.99135294431,107009.91875080741,108669.9102840304
2017-11-08,120832.63397824782,105777.23304687755,102767.75206201622,107034.97790966502,109106.59965967205
2017-11-09,120230.48600388264,105195.26397245575,102396.86130135525,106006.27788778263,108534.09058312887
2017-11-10,120387.6428508361,105107.72413517929,102336.36248377364,106391.12288382811,108526.17092104457
2017-11-13,121086.31448563146,104947.44756879729,102456.96466871424,106679.6690107661,108659.39249483275
2017-11-14,121530.47354544583,104787.19843112057,102206.82194275751,106518.40762737153,108263.34549781527
2017-11-15,119167.98896824075,104176.1584420743,101685.01407687068,106244.6860215584,107754.35497034821
2017-11-16,120422.41620213387,105179.25354397924,102551.45876453487,107159.65838235196,109129.63044304703
2017-11-17,120147.71701241586,105033.52185696232,102275.40010843573,106728.51938659737,108712.40211974665
2017-11-20,120605.96160875444,105193.21934409595,102408.92979889332,106981.67910394107,108626.8608293112
2017-11-21,121351.89206437327,106021.77798870226,103089.99177440847,107960.87402854553,109804.52895025344
2017-11-22,121124.75403562028,106166.92866258921,103016.57213299903,107735.3611003634,109937.73292950071
2017-11-23,121133.11212271272,106166.92866258921,103016.57213299903,107735.3611003634,109937.73292950071
2017-11-24,121622.17792206396,106559.23227426008,103232.00865263905,107734.71993907826,110339.10523714975
2017-11-27,121557.78920620808,106137.21307618376,103201.70529105978,107862.57656214599,110288.84502173225
2017-11-28,121994.1490278305,106951.29644638182,104223.31558195791,109146.89132678701,110570.23008410243
2017-11-29,119908.99155189538,106616.51006982868,104184.40750003843,108198.57349294219,108642.84313354548
2017-11-30,120796.2676270273,107037.92056330772,105055.13418154279,109624.22677377751,109552.31583991581
2017-12-01,118913.9914103214,106804.93636255585,104860.99829665692,108968.2674596134,109085.75318938107
2017-12-04,116264.56607009907,106615.62195197887,104748.79311865293,108758.82470145781,107828.78393753109
2017-12-05,116340.89918387691,106280.88003147618,104377.90750318831,108061.07796999525,107898.50792608467
2017-12-06,116508.11879960001,105946.13996982848,104373.48163437606,108394.54616697226,108384.53113628873
2017-12-07,118184.55328164255,106280.28981669604,104718.20899153338,109013.86627646867,108750.63213429923
2017-12-08,118296.75693079161,106905.27260087505,105287.16341204615,109302.33886414293,109229.56033116423
2017-12-11,120214.43920873811,107166.72435629703,105627.62483012762,109735.31057341525,110075.44713126293
2017-12-12,120171.29568738346,107195.50546159968,105808.56561294328,110216.49600300618,109926.39769723396
2017-12-13,121495.70595093473,107427.85646044304,105782.56891694578,110007.0343055587,110137.21927255306
2017-12-14,121238.04984395533,106962.2356270084,105364.26780364722,109813.66133855635,110058.70148015917
2017-12-15,123770.61955162817,107456.31176757133,106247.91709805535,110310.87668888106,111306.78537466309
2017-12-18,125795.04679848938,108459.37240055445,106907.37574028451,111304.36229146342,112238.52909256454
2017-12-19,124759.0413694147,108081.37218037403,106519.28503151925,111030.2588850188,111572.97183047858
2017-12-20,123941.77251823222,108007.90887936659,106437.22177260666,110949.10819737724,111451.89637538992
2017-12-21,122618.81951816773,108315.03550030422,106652.65689124235,111205.88745955932,111465.14964343878
2017-12-22,122482.04222153717,108504.99248228766,106630.96112494062,110883.47863501788,111337.00837411787
2017-12-26,123274.85750322802,108519.34626929993,106506.96008905635,110303.74493258736,110735.10744450893
2017-12-27,123395.0403867026,108592.2471278869,106567.49510609508,110447.8644921251,110748.40021193642
2017-12-28,123175.16281143122,108913.8976511363,106766.59011628038,110601.6618503232,110881.83295733793
2017-12-29,121802.01001949649,108738.0078223291,106398.29062119828,110719.95928205119,110195.141092135
2018-01-02,121963.23095160542,109689.10742745624,107177.86491813598,111041.02431329092,112124.46993919207
2018-01-03,124871.00666748745,110435.26577256428,107814.52320022238,111973.30553437799,113212.3742894929
2018-01-04,125665.85487425425,111093.67012152902,108286.53870466228,113224.08282314961,113409.45379092424
2018-01-05,128897.80042084487,111737.37621912926,108979.53103903658,114063.08389463101,114546.84170881088
